case_id,child_id,assigned_family,all_child_families,candidate_label,parent_id,retrieval_sources,word5_score,word10_score,bm25_score,function_score,word5_rank,word10_rank,bm25_rank,function_rank
SHC009,4721,ieepa_action,ieepa_action,C01,5146,word5,0.09980447590351105,0.05051958188414574,146.90997182933253,0.6728753447532654,4,12,12,18
SHC009,4721,ieepa_action,ieepa_action,C02,5059,function,0.09631375968456268,0.05113355442881584,131.1853792824866,0.7008185982704163,10,8,56,3
SHC009,4721,ieepa_action,ieepa_action,C03,5149,function,0.07836361974477768,0.03703304007649422,142.75630938250123,0.6976718902587891,22,22,20,5
SHC009,4721,ieepa_action,ieepa_action,C04,5356,function,0.05880886688828468,0.016142139211297035,107.00342460717526,0.7111087441444397,28,44,272,2
SHC009,4721,ieepa_action,ieepa_action,C05,546,word5,0.10010586678981781,0.05204188451170921,158.5717148345112,0.5067029595375061,2,6,6,1465
SHC009,4721,ieepa_action,ieepa_action,C06,4740,bm25,0.05775037035346031,0.02172335796058178,181.7082454074798,0.5699843764305115,31,38,3,246
SHC009,4721,ieepa_action,ieepa_action,C07,5120,word10,0.09787662327289581,0.05466064438223839,132.91645368933266,0.665970504283905,8,4,50,26
SHC009,4721,ieepa_action,ieepa_action,C08,5143,word5,0.09980447590351105,0.05051958188414574,145.24742365150036,0.6624271273612976,3,11,14,27
SHC009,4721,ieepa_action,ieepa_action,C09,470,same_family_recent,0.03805004060268402,0.010587746277451515,134.69622897219125,0.632337749004364,111,101,40,80
SHC009,4721,ieepa_action,ieepa_action,C10,4977,word10,0.09787662327289581,0.05466064438223839,127.01626583859914,0.6153435111045837,7,3,82,115
SHC009,4721,ieepa_action,ieepa_action,C11,4756,bm25|word10|word5,0.1619027554988861,0.10530765354633331,195.8003037378108,0.6839386820793152,1,1,1,14
SHC009,4721,ieepa_action,ieepa_action,C12,476,bm25,0.016772303730249405,0.0,170.10770335262998,0.5824934840202332,209,266,4,198
SHC009,4721,ieepa_action,ieepa_action,C13,4933,word10,0.09549441188573837,0.05466064438223839,155.41786797063293,0.6867621541023254,12,2,8,11
SHC009,4721,ieepa_action,ieepa_action,C14,466,same_family_recent,0.015874024480581284,0.0,129.62454616618245,0.5195879340171814,216,257,65,1073
SHC009,4721,ieepa_action,ieepa_action,C15,4739,bm25,0.05775037035346031,0.02172335796058178,194.77968591917374,0.6894888281822205,30,37,2,7
SHC009,4721,ieepa_action,ieepa_action,C16,5121,function|word10|word5,0.09914268553256989,0.05466064438223839,124.95886767375606,0.6986584067344666,5,5,96,4
SHC009,4721,ieepa_action,ieepa_action,C17,5004,bm25|function,0.08317644894123077,0.03886527940630913,165.04089448444543,0.7125027179718018,19,19,5,1
SHC010,6571,ieepa_action,ieepa_action,C01,6595,bm25|function|same_family_recent|word10|word5,0.43287909030914307,0.37705808877944946,810.3978872593352,0.7975161671638489,1,1,1,1
SHC010,6571,ieepa_action,ieepa_action,C02,3241,function,0.0006534720887430012,0.0,100.30251788856255,0.7237739562988281,591,1465,1931,5
SHC010,6571,ieepa_action,ieepa_action,C03,6742,function|word10|word5,0.024459565058350563,0.010001213289797306,225.1676852611992,0.7615752220153809,5,5,15,3
SHC010,6571,ieepa_action,ieepa_action,C04,6957,bm25,0.0026447696145623922,0.0,283.19648714882123,0.6778275966644287,80,2996,5,12
SHC010,6571,ieepa_action,ieepa_action,C05,1906,word10|word5,0.04549282789230347,0.024058405309915543,246.5413864830756,0.5183401107788086,4,4,6,854
