url,extracted_vesting_clause,directive_type,year,administration
https://www.presidency.ucsb.edu/documents/proclamation-8202-world-freedom-day-2007,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2007,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8201-national-diabetes-month-2007,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2007,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8181-national-breast-cancer-awareness-month-2007,"vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the power vested in me by the Constitution and the laws of the United States",proclamation,2007,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8138-national-physical-fitness-and-sports-month-2007,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2007,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8134-national-charter-schools-week-2007,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2007,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8131-national-park-week-2007,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2007,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8125-national-volunteer-week-2007,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2007,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8115-greek-independence-day-national-day-celebration-greek-and-american,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2007,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8086-national-methamphetamine-awareness-day-2006,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2006,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8051-national-powmia-recognition-day-2006,"by virtue of the authority vested in me by the Constitution and laws of the United States || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2006,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8032-independence-day-2006,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2006,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8001-thomas-jefferson-day-2006,"by virtue of the authority vested in me by the Constitution and laws of the United States of America, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States of America",proclamation,2006,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-7975-national-sanctity-human-life-day-2006,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2006,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-7973-martin-luther-king-jr-federal-holiday-2006,"by virtue of the authority vested in me by the Constitution and laws of the United States, || King, ""We will not be satisfied until `justice rolls down like waters and righteousness like a mighty stream.""' Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2006,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-7968-human-rights-day-bill-rights-day-and-human-rights-week-2005,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2005,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-7965-national-drunk-and-drugged-driving-prevention-month-2005,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2005,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-7957-national-family-caregivers-month-2005,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2005,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-7930-national-powmia-recognition-day-2005,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2005,George W. Bush (Second)
